Category,Category_short,Item_Name,GLEAM3_name,Item_group,GLEAM_Method,GLEASTAT_version,DM,GE,DE_ruminants,DE_pigs,ME_ruminants,ME_pigs,ME_chickens,CP,N_content,N_dig_ruminants,N_dig_pigs
Pulses,Pulses,"Beans, dry",PULSES,GLEAMX,GLEAMX,v1,89.1,18.6,16.8,16.3,13.6,15.3,12.15,24.8,0.03968,87.2,93.4
Crop residues,CropResidues,"Broad and horse beans, straw",PSTRAW,GLEAMX,GLEAMX,v1,89.7,18.1,7.9,,6.4,,,7.4,0.01184,38.3,
Pulses,Pulses,"Broad beans and horse beans, dry",PULSES,GLEAMX,GLEAMX,v1,85.9,18.7,16.8,15.5,13.3,14.7,12.2,29,0.0463999999999999,79.2,83.1
Crop residues,CropResidues,"Chick peas, straw",PSTRAW,GLEAMX,GLEAMX,v1,90.4,18.1,7.5,,6.1,,,5.4,0.00864,47.3,
Pulses,Pulses,"Chick peas, dry",PULSES,GLEAMX,GLEAMX,v1,89,19.6,17.0499999999999,15.5,13.85,14.85,12.7,22.2,0.03552,79,82.3
Crop residues,CropResidues,"Lentils, straw",PSTRAW,GLEAMX,GLEAMX,v1,92.1,17.8999999999999,9.19999999999999,,7.5,,,7,0.0112,40.4,
Pulses,Pulses,"Lentils, dry",PULSES,GLEAMX,GLEAMX,v1,88.3,18.5,16.8,14.4,13.5,9.8,12.75,26.9,0.0430399999999999,78.5,72
Crop residues,CropResidues,"Peas, straw",PSTRAW,GLEAMX,GLEAMX,v1,88.8,18.1,9.8,,7.9,,,8.19999999999999,0.0131199999999999,59.2,
Pulses,Pulses,"Peas, dry",PULSES,GLEAMX,GLEAMX,v1,86.5,18.3,16.5,16.1,13.4,15.4,12.5,23.9,0.0382399999999999,78,84.9
Crop residues,CropResidues,"Cow peas, straw",PSTRAW,GLEAMX,GLEAMX,v1,95,17.8999999999999,11.2,,9,,,13.7,0.0219199999999999,67.6,
Pulses,Pulses,"Cow peas, dry",PULSES,GLEAMX,GLEAMX,v1,89.9,18.7,16.8999999999999,15.2,13.6,14.5,13.4,25.2,0.04032,,72.3
Crop residues,CropResidues,"Pigeon peas, straw",PSTRAW,GLEAMX,GLEAMX,v1,61.05,19.45,11.45,,9.14999999999999,,,16.75,0.0268,64.5,
Pulses,Pulses,"Pigeon peas, dry",PULSES,GLEAMX,GLEAMX,v1,89.2,18.7,16.7,14.3,13.5,13.6,14.1,22.4,0.0358399999999999,,88.4
Crop residues,CropResidues,"Bambara beans, straw",PSTRAW,GLEAMX,GLEAMX,v1,91.3,17.2,8,,6.5,,,11.2,0.0179199999999999,,
Pulses,Pulses,"Bambara beans, dry",PULSES,GLEAMX,GLEAMX,v1,86.8,19.3999999999999,17.6,14.4,15.9,11.5,10.5,19.8,0.03168,,
Crop residues,CropResidues,"Vetches, straw",PSTRAW,GLEAMX,GLEAMX,v1,91.1,17.8,9.5,,7.7,,,7,0.0112,47.8,
Pulses,Pulses,Vetches,PULSES,GLEAMX,GLEAMX,v1,87.9,18.8999999999999,17.2,15.5,13.8,14.7,10.8,28.4,0.0454399999999999,86,95.5
Crop residues,CropResidues,"Lupins, straw",PSTRAW,GLEAMX,GLEAMX,v1,17.8,18.2,11.1,,8.8,,,15.5,0.0247999999999999,,
Pulses,Pulses,Lupins,PULSES,GLEAMX,GLEAMX,v1,89,20.6666666666666,18.5063999999999,16.1333333333333,14.2666666666666,14.9666666666666,11.25,37.9333333333333,0.0606933333333333,80,83.3
Crop residues,CropResidues,"Other pulses n.e.c., straw",PSTRAW,GLEAMX,GLEAMX,v1,80.525,18.065,9.48499999999999,,7.645,,,9.925,0.01588,50.4875,
Pulses,Pulses,Other pulses n.e.c.,PULSES,GLEAMX,GLEAMX,v1,87.9,18.9222222222222,16.7463666666666,15.1611111111111,13.5847222222222,13.7930555555556,12.2590909090909,25.3694444444444,0.0405911111111111,76.9444444444445,82.7909090909091
Other,Other,Sugar beet,,GLEAMX,GLEAMX,v1,88.8,17.1,11.97,12.2,11.4,11.5,,8.9,0.01424,70,49
Crop residues,CropResidues,"Sugar cane, tops",TOPS,GLEAMX,GLEAMX,v1,26.8,18,9.8,,8,,,4.9,0.00783999999999999,43.6,
Other,Other,Sugar cane,,GLEAMX,GLEAMX,v1,23.2,18.2,11,,9,,,4.3,0.00688,65,
Fodder crops,FodderCrops,"Forage and silage, maize",FDDRSIL,GLEAMX,GLEAMX,v1,30.3,18.95,13.0249999999999,,10.775,,,7.225,0.01156,58.6,
Fodder crops,FodderCrops,"Forage and silage, alfalfa",FDDRSIL,GLEAMX,GLEAMX,v1,30.8,18.2,11.3,8,8.9,,,19.1,0.03056,71,
Grass and leaves,GrassLeaves,"Rye grass, for forage",GRASSF_cultivated,GLEAMX,GLEAMX,v1,21.7666666666667,17.98,13.85359,7.9,11.1103048514852,7.25,5.65,12.65,0.02024,,
Grass and leaves,GrassLeaves,"Clover, for forage",GRASSLEGF_cultivated,GLEAMX,GLEAMX,v1,17.15,18.05,13.01,,10.34,,,19.7,0.03152,76.71,
Fodder crops,FodderCrops,"Turnips, for forage",,GLEAMX,GLEAMX,v1,17.2,16.5,12.4,,9.9,,,16.4,0.02624,74.9,
Fodder crops,FodderCrops,Beets for fodder,FDDRBEET,GLEAMX,GLEAMX,v1,16.1,16.2,13.6889999999999,13,11.5,12.7,10.1,16.7,0.0267199999999999,68.9,67.3
Fodder crops,FodderCrops,"Carrots, for forage",,GLEAMX,GLEAMX,v1,90,17.7,14.8,13.3,12.3,12.8,,11.1,0.01776,,
Grass and leaves,GrassLeaves,"Hay, from natural grasses",GRASSH_uncultivated,GLEAMX,GLEAMX,v1,89.9,17.9407217099182,9.51675757575758,,7.59456521739131,,,8.97348993288591,0.0143575838926175,44.5455303030303,
Grass and leaves,GrassLeaves,"Standing Hay, from natural grasses",GRASSH_standing,GLEAMX,GLEAMX,v1,89.9,17.9407217099182,9.51675757575758,,7.59456521739131,,,8.97348993288591,0.0143575838926175,44.5455303030303,
Grass and leaves,GrassLeaves,"Hay, from cultivated grasses",GRASSH_cultivated,GLEAMX,GLEAMX,v1,89.9,18.09,10.18,,8.22,,,9.35,0.01496,47.65,
Grass and leaves,GrassLeaves,"Hay for forage, from legumes, natural",GRASSLEGH_uncultivated,GLEAMX,GLEAMX,v1,89.9,18.2084936757378,9.6289393939394,,7.53913043478261,,,15.5476510067114,0.0248762416107383,68.9357272727273,
Grass and leaves,GrassLeaves,"Hay for forage, from legumes, cultivated",GRASSLEGH_cultivated,GLEAMX,GLEAMX,v1,89.9,18.36,10.3,,8.16,,,16.2,0.02592,73.74,
Fodder crops,FodderCrops,"Hay for forage, from other crops n.e.c.",FDDRSIL,GLEAMX,GLEAMX,v1,66.16,18.3081443419836,10.8643515151515,8,8.72991304347826,,,12.1696979865772,0.0194715167785235,59.1071060606061,
Grass and leaves,GrassLeaves,"Other grasses, for forage",GRASSF_cultivated,GLEAMX,GLEAMX,v1,24.31,17.98,11.11,7.9,8.91,7.25,5.65,11,0.0176,58.45,52.4
Grass and leaves,GrassLeaves,"Other legumes, for forage, natural",GRASSLEGF_uncultivated,GLEAMX,GLEAMX,v1,21.71,18.3969257998332,11.8538787878788,,9.28532608695652,,,19.4057718120805,0.0310492348993289,63.9903787878788,
Grass and leaves,GrassLeaves,"Other legumes, for forage, cultivated",GRASSLEGF_cultivated,GLEAMX,GLEAMX,v1,21.71,18.55,12.68,,10.05,,,20.22,0.032352,68.45,
Grass and leaves,GrassLeaves,"Mixed grass and legumes, for forage, natural",GRASSLEGF_uncultivated,GLEAMX,GLEAMX,v1,21.0566666666667,18.0432023388121,11.4674747474747,7.38530303030303,9.02355072463768,6.69836956521739,5.22010869565218,16.2898434004474,0.0260637494407159,63.4481666666667,48.9860606060606
Grass and leaves,GrassLeaves,"Mixed grass and legumes, for forage, cultivated",GRASSLEGF_cultivated,GLEAMX,GLEAMX,v1,21.0566666666667,18.1933333333333,12.2666666666667,7.9,9.76666666666667,7.25,5.65,16.9733333333333,0.0271573333333333,67.87,52.4
Fodder crops,FodderCrops,"Other oilseeds, for forage",,GLEAMX,GLEAMX,v1,15.8,17.3,11,,8.9,,,13,0.0208,,70.3
Fodder crops,FodderCrops,"Other forage crops, n.e.c.",,GLEAMX,GLEAMX,v1,41.1,16.8,13.6296666666666,13.15,11.2333333333333,12.75,10.1,14.7333333333333,0.0235733333333333,71.9,67.3
Fodder crops,FodderCrops,"Other forage products, n.e.c.",,GLEAMX,GLEAMX,v1,49.3016666666667,17.7970721709918,12.2074347575757,10.55,9.87998700688765,10.9166666666667,7.875,13.7398489932886,0.0219837583892617,64.5056912878788,67.3
Animal products,Animal products,Raw milk of cattle,,GLEAMX,GLEAMX,v1,12.2,21.9488524590164,21.2903868852459,,20.4387714098361,,,26.2295081967213,0.0411120818130428,,
Animal products,Animal products,Raw milk of buffalo,,GLEAMX,GLEAMX,v1,17.6,24.3195,23.589915,,22.6463184,,,28.4090909090909,0.0445283556568823,,
Animal products,Animal products,Raw milk of sheep,,GLEAMX,GLEAMX,v1,18.4,20.4197391304348,19.8071469565217,,19.0148610782609,,,30.9782608695652,0.0485552678206351,,
Animal products,Animal products,Raw milk of goats,,GLEAMX,GLEAMX,v1,12.2,21.9488524590164,21.2903868852459,,20.4387714098361,,,26.2295081967213,0.0411120818130428,,
Animal products,Animal products,Raw milk of camel,,GLEAMX,GLEAMX,v1,11.56,22.2229757785467,21.5562865051903,,20.6940350449827,,,25.5190311418685,0.039998481413587,,
Animal products,Animal products,"Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen",,GLEAMX,GLEAMX,v1,92.3,24.4,,,,,15.2,60.2,,,87
By-products,ByProducts,Meat meal,,GLEAMX,GLEAMX,v1,94.5,17.2,,11.85,,10.55,11.85,58.45,0.09352,,81.65
By-products,ByProducts,"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates",FISHMEAL,GLEAMX,GLEAMX,v1,92.26,20.43,20.45,18.03,14.2,16.25,14.13,64.8,0.10368,95,89.65
By-products,ByProducts,"Flour, meal, powder, flakes, granules and pellets of potatoes",,GLEAMX,GLEAMX,v1,17,16.8,13.608,15.1,11.4,14.5,10.45,12.8,0.02048,69.8,73.7
Oil crops,OilCrops,"Groundnuts, shelled",,GLEAMX,GLEAMX,v1,95.5,29.3,28.8,24.3,23,23.5,,29.5,0.0472,89.9,
Other,Other,Mango Pulp,,GLEAMX,GLEAMX,v1,17.5,17.8,,14.1,,,,4.2,,,
Other,Other,Soya bean oil,SOY OIL,GLEAMX,GLEAMX,v1,99.8,39.2999999999999,39.1427999999999,34.5,36.7,34.3499999999999,37.9,0,0,0,0
Other,Other,"Sunflower-seed oil, crude",,GLEAMX,GLEAMX,v1,99.3,39.3,,34.5,36.7,34.3,,0,0,0,0
Other,Other,Palm oil,,GLEAMX,GLEAMX,v1,99.8,39.2,34.496,34.5,36.6,34.3,31.35,0,,,
Oil crop cakes,OilCropCakes,Oil of olive residues,,GLEAMX,GLEAMX,v1,86.6,19.7,6.2,7.6,5,,,10.25,0.0164,16.25,
By-products,ByProducts,Cake of Rice Bran,,GLEAMX,GLEAMX,v1,90.1,17.33,10.66,10.63,8.66,10.03,7.51,13.26,0.021216,56.83,59.15
Oil crop cakes,OilCropCakes,Cake of Maize,,GLEAMX,GLEAMX,v1,91.22,19.65,15.9,13.76,12.92,12.53,10.3,20.92,0.033472,59.72,67.4
Oil crop cakes,OilCropCakes,Cake of Soya beans,MLSOY,GLEAMX,GLEAMX,v1,88,19.7,17.95655,17.05,13.35,15.55,11.05,53.9,0.08624,80.2,88.4
Oil crop cakes,OilCropCakes,Cake of Groundnuts,MLOILSDS,GLEAMX,GLEAMX,v1,90.7,20.6333333333333,17.3666666666666,16.1240666666666,12.9666666666666,15.2999999999999,11.6499999999999,52.3,0.08368,86.7,83.1
Oil crop cakes,OilCropCakes,Cake of Copra,MLOILSDS,GLEAMX,GLEAMX,v1,90.7,19.3999999999999,15.2,10.55,12.15,9.8,8.69999999999999,22.95,0.0367199999999999,76.6,69.4
Oil crop cakes,OilCropCakes,Cake of Palm kernel,PKEXP,GLEAMX,GLEAMX,v1,91.1,19.45,13.8,8.1,11.1499999999999,7.55,10.6,17.7,0.0283199999999999,73.8,63.9
Oil crop cakes,OilCropCakes,Cake of Sunflower seed,MLOILSDS,GLEAMX,GLEAMX,v1,89.9,20,12.8,11.025,9.625,10.0749999999999,8.6,32.3249999999999,0.0517199999999999,74.8,77.7
Oil crop cakes,OilCropCakes,Cake of Rapeseed,MLRAPE,GLEAMX,GLEAMX,v1,90.5,20.35,15.637,14.25,12.1,13.2,9.05,35.9,0.05744,77.1,77.8
Oil crop cakes,OilCropCakes,Olive Residues,,GLEAMX,GLEAMX,v1,72.3,18.66,7.65,,6.6,,,9.93,0.015888,27.76,
Oil crop cakes,OilCropCakes,Cake of Safflowerseed,MLOILSDS,GLEAMX,GLEAMX,v1,93.2,21.4,10.2291999999999,8.1,8.3,,,24.8,0.03968,80,
Oil crop cakes,OilCropCakes,Cake of Sesame seed,MLOILSDS,GLEAMX,GLEAMX,v1,92.8,20.6,16.6,15.7,12.5,14.4,11.3,44.9,0.07184,78.4,88.6
Oil crop cakes,OilCropCakes,Cake of Mustard seed,MLOILSDS,GLEAMX,GLEAMX,v1,89.5,20,12.64,12,10.9,11.35,7.1,18.2,0.02912,71.1,50.1
Oil crop cakes,OilCropCakes,Cake of Kapok,,GLEAMX,GLEAMX,v1,89.5,20.4,,12.7,9.1,,8.8,34.1,,74.1,
Oil crop cakes,OilCropCakes,Cake of Cottonseed,MLCTTN,GLEAMX,GLEAMX,v1,91.6,20.65,15.545,13.1,11.7666666666666,11.9333333333333,9.7,42.4249999999999,0.0678799999999999,80.4,73.4
Oil crop cakes,OilCropCakes,Cake of Linseed,MLOILSDS,GLEAMX,GLEAMX,v1,89.1,19.7,17.95655,17.05,13.35,15.55,11.05,53.9,0.08624,76.8,87.7
Oil crop cakes,OilCropCakes,Cake of Hempseed,MLOILSDS,GLEAMX,GLEAMX,v1,90,20.5,11.1315,9.9091,9,9.75,10.25,35.5499999999999,0.05688,71.9,55.6
Oil crop cakes,OilCropCakes,Cake of Oilseeds nes,MLOILSDS,GLEAMX,GLEAMX,v1,89.2864705882353,19.9878431372549,13.8132791666667,12.4261354166667,10.6928431372549,12.2067948717949,9.8576923076923,31.7441176470588,0.050555,69.69,73.5916666666667
Animal products,Animal products,"Whey, dry",,GLEAMX,GLEAMX,v1,97.05,15.75,14.35,14.95,12.05,14.5,12.1,10.9,0.01744,72.55,
Animal products,Animal products,"Whey, Condensed",,GLEAMX,GLEAMX,v1,97.7,15.6,14.352,15.2,11.7,14.8,8.1,5.8,0.00928,64.1,95
Animal products,Animal products,Whole milk powder,,GLEAMX,GLEAMX,v1,96,23.2,24.9462365591398,21.5,18.8,20.7,16,25.4,0.04064,95,95
Animal products,Animal products,Skim milk and whey powder,,GLEAMX,GLEAMX,v1,94.8,18.3,19.6774193548387,17.6,13.7,16.6,,34.1,0.05456,79.6,95
Other,Other,Germ of Wheat,,GLEAMX,GLEAMX,v1,88.7,20.6,17.6,17.2,14,16.4,,29.5,0.0472,,
Other,Other,Germ of Maize,,GLEAMX,GLEAMX,v1,93.15,25.7,18.25,19.6,18.25,19,15.6,14.05,0.02248,83,76.3
Other,Other,"Oats, Rolled",,GLEAMX,GLEAMX,v1,87.6,19.5,13.65,13.7,11.5,13,11,9.4,0.01504,59.3,84.7
Other,Other,"Rice, Milled",,GLEAMX,GLEAMX,v1,88,17.6,12.1,13.1,10.1,12.7,9.19999999999999,8.3,0.01328,76,
Other,Other,"Rice, Broken",,GLEAMX,GLEAMX,v1,87.5,18.1,15.9,16.9,13.4,16.5,15.95,9,0.0144,68,88
Other,Other,Flour of Cassava,,GLEAMX,GLEAMX,v1,89,15.6,7.956,12.4,,12,10.1,2.3,0.00368,0,100
Other,Other,Flour of Fruits,,GLEAMX,GLEAMX,v1,90,18.5,,15.6,,,,16.7,,,
Other,Other,Starch of Maize,,GLEAMX,GLEAMX,v1,88.1,0.8,,17,,16.8,,17.4,0.02784,,64.6
Other,Other,Starch of Potatoes,,GLEAMX,GLEAMX,v1,86.9,17.6,11.44,12.8,9.2,12.4,8.8,5.4,0.00864,28.4,57.2
Other,Other,Starch of Cassava,,GLEAMX,GLEAMX,v1,89,17.5,9.8,11.5,7.7,11.2,10.1,2.4,0.00384,0,54.8
Fodder crops,FodderCrops,Lucerne (alfalfa) meal and pellets,GRASSLEGH_cultivated,GLEAMX,GLEAMX,v1,92.1,21.7,19.5,18.8,14.4,17.4,12.4,56.9,0.09104,80.4,89.4
By-products,ByProducts,Molasses (from cane),MOLASSES,GLEAMX,GLEAMX,v1,73,14.7,11.3,13.3,9.6,13,13,5.5,0.0088,,
By-products,ByProducts,Molasses (from beet),MOLASSES,GLEAMX,GLEAMX,v1,75.4,15.5,13.3144999999999,13.1,11,12.8,12.3,14.2,0.0227199999999999,72,50
By-products,ByProducts,Bran of Wheat,GRNBYDRY,GLEAMX,GLEAMX,v1,87,18.9,13.5,10.8,11,10.2,7.6,17.3,0.02768,68.2,64.9
By-products,ByProducts,Bran of Rice,GRNBYDRY,GLEAMX,GLEAMX,v1,90.5,20.3,13.87,13.8,11.42,13.27,11.57,12.62,0.020192,59.32,74.2
By-products,ByProducts,Bran of Maize,GRNBYDRY,GLEAMX,GLEAMX,v1,88.7,18.5,13.4,10.1,11,9.7,8.8,11.9,0.01904,92.3,45.5
By-products,ByProducts,Bran of Rye,GRNBYDRY,GLEAMX,GLEAMX,v1,88,18.5,14.5,14.8,11.9,14.1,,16.9,0.02704,83,
By-products,ByProducts,Bran of Oats,GRNBYDRY,GLEAMX,GLEAMX,v1,90.6,19.8,16.7,16.6,13.7,15.9,,19.3,0.03088,,
By-products,ByProducts,Bran of Millet,GRNBYDRY,GLEAMX,GLEAMX,v1,92,19,15.4,15.5,12.8,,,13.7,0.02192,,
By-products,ByProducts,Bran of Buckwheat,GRNBYDRY,GLEAMX,GLEAMX,v1,88.45,19.95,13.88,13.35,11.1,12.65,12.65,26.45,0.04232,70.5,70.1
By-products,ByProducts,Bran of Mixed Grain,GRNBYDRY,GLEAMX,GLEAMX,v1,89.4,19.4899999999999,14.42,13.5599999999999,11.8599999999999,12.9111111111111,9.85833333333333,14.53,0.023248,69.7,66.1
By-products,ByProducts,Marc of grape,,GLEAMX,GLEAMX,v1,91.2,19.1,7.258,8.9,5.5,8.3,5.05,13.6,0.02176,52.3,47.6
By-products,ByProducts,Potato Offals,,GLEAMX,GLEAMX,v1,20.1,17.1,12.996,14.6,10.3,,,10,0.016,60.3,66.1
By-products,ByProducts,Maize Gluten meal,MZGLTM,GLEAMX,GLEAMX,v1,90,23.1,22.9,21.4,16.6,19.8,16.7,67.2,0.10752,81,86.2
By-products,ByProducts,Maize Gluten feed,MZGLTF,GLEAMX,GLEAMX,v1,88.3,18.8,15.1,12.3,12.2,11.6,8.6,21.7,0.03472,74.4,60.2
By-products,ByProducts,Bagasse,,GLEAMX,GLEAMX,v1,46,18.4,8.6,3.3,7,,,1.8,0.00288,,
By-products,ByProducts,Beet pulp,BPULP,GLEAMX,GLEAMX,v1,24.3,17.1,13.509,11.8,11.2,11.1,2.83333333333333,8.7,0.01392,69,47
By-products,ByProducts,Coffee Husks and Skins,,GLEAMX,GLEAMX,v1,91.8,17.2,,10.5,,,,11.3,,,
By-products,ByProducts,Brewing or distilling dregs and waste,GRNBYWET,GLEAMX,GLEAMX,v1,72.8,20.7285714285714,14.7748571428571,14.2181818181818,11.7615384615384,13.3111111111111,11.2222222222222,29.3928571428571,0.0470285714285714,76,76.9
Animal products,Animal products,Raw milk of pig,,GLEAMX,GLEAMX,v1,17.9,25.8435754189944,,25.0682681564246,,24.0655374301676,,29.8324022346369,0.0467592511514685,,
Other,Other,SWILL,SWILL,GLEAM3,GLEAMX,v1,37.5112698412698,18.316,13.4833333333333,11.659375,10.7777777777778,10.76,10.14,12.831,0.0205296,60.4909090909091,53.725
